URL,job_title,level,country,data_exists
https://www.levels.fyi/en-gb/t/hardware-engineer/levels/entry-level/locations/australia,Hardware Engineer,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/hardware-engineer/levels/senior/locations/australia,Hardware Engineer,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/investment-banker/locations/australia,Investment Banker,All,Australia,Data available
https://www.levels.fyi/en-gb/t/investment-banker/levels/entry-level/locations/australia,Investment Banker,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/investment-banker/levels/senior/locations/australia,Investment Banker,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/optical-engineer/locations/australia,Optical Engineer,All,Australia,No data available
https://www.levels.fyi/en-gb/t/optical-engineer/levels/entry-level/locations/australia,Optical Engineer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/optical-engineer/levels/senior/locations/australia,Optical Engineer,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/people-ops/locations/australia,People Ops,All,Australia,Data available
https://www.levels.fyi/en-gb/t/people-ops/levels/entry-level/locations/australia,People Ops,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/people-ops/levels/senior/locations/australia,People Ops,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/human-resources/locations/australia,Human Resources,All,Australia,Data available
https://www.levels.fyi/en-gb/t/human-resources/levels/entry-level/locations/australia,Human Resources,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/human-resources/levels/senior/locations/australia,Human Resources,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/revops/locations/australia,Revops,All,Australia,No data available
https://www.levels.fyi/en-gb/t/revops/levels/entry-level/locations/australia,Revops,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/revops/levels/senior/locations/australia,Revops,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/administrative-assistant/locations/australia,Administrative Assistant,All,Australia,Data available
https://www.levels.fyi/en-gb/t/administrative-assistant/levels/entry-level/locations/australia,Administrative Assistant,Entry-Level,Australia,Data available
https://www.levels.fyi/en-gb/t/administrative-assistant/levels/senior/locations/australia,Administrative Assistant,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/underwriter/locations/australia,Underwriter,All,Australia,No data available
https://www.levels.fyi/en-gb/t/underwriter/levels/entry-level/locations/australia,Underwriter,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/underwriter/levels/senior/locations/australia,Underwriter,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/venture-capitalist/locations/australia,Venture Capitalist,All,Australia,Data available
https://www.levels.fyi/en-gb/t/venture-capitalist/levels/entry-level/locations/australia,Venture Capitalist,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/venture-capitalist/levels/senior/locations/australia,Venture Capitalist,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/accountant/locations/australia,Accountant,All,Australia,Data available
